Date,Close,High,Low,Open,Volume
2/2/2018,8830.75,9142.280273,7796.490234,9142.280273,12726899712
2/3/2018,9174.910156,9430.75,8251.629883,8852.120117,7263790080
2/4/2018,8277.009766,9334.870117,8031.220215,9175.700195,7073549824
2/5/2018,6955.27002,8364.839844,6756.680176,8270.540039,9285289984
2/6/2018,7754,7850.700195,6048.259766,7051.75,13999800320
2/7/2018,7621.299805,8509.110352,7236.790039,7755.490234,9169280000
2/8/2018,8265.589844,8558.769531,7637.859863,7637.859863,9346750464
2/9/2018,8736.980469,8736.980469,7884.709961,8271.839844,6784820224
2/10/2018,8621.900391,9122.549805,8295.469727,8720.080078,7780960256
2/11/2018,8129.970215,8616.129883,7931.100098,8616.129883,6122189824
2/12/2018,8926.570313,8985.919922,8141.430176,8141.430176,6256439808
2/13/2018,8598.30957,8958.469727,8455.410156,8926.719727,5696719872
2/14/2018,9494.629883,9518.540039,8599.919922,8599.919922,7909819904
2/15/2018,10166.40039,10234.7998,9395.580078,9488.320313,9062540288
2/16/2018,10233.90039,10324.09961,9824.820313,10135.7002,7296159744
2/17/2018,11112.7002,11139.5,10149.40039,10207.5,8660880384
2/18/2018,10551.7998,11349.7998,10326,11123.40039,8744009728
2/19/2018,11225.2998,11273.7998,10513.2002,10552.59961,7652089856
2/20/2018,11403.7002,11958.5,11231.7998,11231.7998,9926540288
2/21/2018,10690.40039,11418.5,10479.09961,11372.2002,9405339648
2/22/2018,10005,11039.09961,9939.089844,10660.40039,8040079872
2/23/2018,10301.09961,10487.2998,9734.55957,9937.070313,7739500032
2/24/2018,9813.070313,10597.2002,9546.969727,10287.7002,6917929984
2/25/2018,9664.730469,9923.219727,9407.05957,9796.419922,5706939904
2/26/2018,10366.7002,10475,9501.730469,9669.429688,7287690240
2/27/2018,10725.59961,10878.5,10246.09961,10393.90039,6966179840
2/28/2018,10397.90039,11089.7998,10393.09961,10687.2002,6936189952
3/1/2018,10951,11052.2998,10352.7002,10385,7317279744
3/2/2018,11086.40039,11189,10850.09961,10977.40039,7620590080
3/3/2018,11489.7002,11528.2002,11002.40039,11101.90039,6690570240
3/4/2018,11512.59961,11512.59961,11136.09961,11497.40039,6084149760
3/5/2018,11573.2998,11704.09961,11443.90039,11532.40039,6468539904
3/6/2018,10779.90039,11500.09961,10694.2998,11500.09961,6832169984
3/7/2018,9965.570313,10929.5,9692.120117,10803.90039,8797910016
3/8/2018,9395.009766,10147.40039,9335.870117,9951.44043,7186089984
3/9/2018,9337.549805,9466.349609,8513.030273,9414.69043,8704190464
3/10/2018,8866,9531.320313,8828.469727,9350.589844,5386319872
3/11/2018,9578.629883,9711.889648,8607.120117,8852.780273,6296370176
3/12/2018,9205.120117,9937.5,8956.429688,9602.929688,6457399808
3/13/2018,9194.849609,9470.379883,8958.19043,9173.040039,5991139840
3/14/2018,8269.80957,9355.849609,8068.589844,9214.650391,6438230016
3/15/2018,8300.860352,8428.349609,7783.049805,8290.759766,6834429952
3/16/2018,8338.349609,8585.150391,8005.310059,8322.910156,5289379840
3/17/2018,7916.879883,8346.530273,7812.819824,8321.910156,4426149888
3/18/2018,8223.679688,8245.509766,7397.990234,7890.52002,6639190016
3/19/2018,8630.650391,8675.870117,8182.399902,8344.120117,6729110016
3/20/2018,8913.469727,9051.019531,8389.889648,8619.669922,6361789952
3/21/2018,8929.280273,9177.370117,8846.330078,8937.480469,6043129856
3/22/2018,8728.469727,9100.709961,8564.900391,8939.44043,5530390016
3/23/2018,8879.620117,8879.620117,8360.620117,8736.25,5954120192
3/24/2018,8668.120117,8996.179688,8665.700195,8901.950195,5664600064
3/25/2018,8495.780273,8682.009766,8449.099609,8612.80957,4569880064
3/26/2018,8209.400391,8530.080078,7921.430176,8498.469727,5921039872
3/27/2018,7833.040039,8232.780273,7797.279785,8200,5378250240
